trial,sigma,tau,method,rot_err_deg,trans_err,repr_rmse,runtime_ms,success
0,0.0,nan,EPnP,0.0,1.2225062931717345e-15,3.799909210647723e-13,0.23769994731992483,1
0,0.0,nan,ITERATIVE,0.0,5.551115123125783e-17,4.263256414560601e-14,0.2660000463947654,1
0,0.0,0.01,EPnP+TSVD,0.0,1.2225062931717345e-15,3.799909210647723e-13,0.46250002924352884,1
0,0.0,0.001,EPnP+TSVD,0.0,1.2225062931717345e-15,3.799909210647723e-13,0.20950008183717728,1
0,0.0,0.0001,EPnP+TSVD,0.0,1.2225062931717345e-15,3.799909210647723e-13,0.17070001922547817,1
0,0.0,1e-05,EPnP+TSVD,0.0,1.2225062931717345e-15,3.799909210647723e-13,0.17060001846402884,1
0,0.0,1e-06,EPnP+TSVD,0.0,1.2225062931717345e-15,3.799909210647723e-13,0.16469997353851795,1
1,0.0,nan,EPnP,0.0,5.3317544878296484e-14,3.3868375589386757e-13,0.13559998478740454,1
1,0.0,nan,ITERATIVE,0.0,5.331949934659049e-15,2.0097183471152322e-14,0.15570002142339945,1
1,0.0,0.01,EPnP+TSVD,0.0,5.3317544878296484e-14,3.3868375589386757e-13,0.175100052729249,1
1,0.0,0.001,EPnP+TSVD,0.0,5.3317544878296484e-14,3.3868375589386757e-13,0.1607999438419938,1
1,0.0,0.0001,EPnP+TSVD,0.0,5.3317544878296484e-14,3.3868375589386757e-13,0.15649991109967232,1
1,0.0,1e-05,EPnP+TSVD,0.0,5.3317544878296484e-14,3.3868375589386757e-13,0.15820004045963287,1
1,0.0,1e-06,EPnP+TSVD,0.0,5.3317544878296484e-14,3.3868375589386757e-13,0.15550001990050077,1
2,0.0,nan,EPnP,0.0,1.2658490090568385e-15,1.8364471519760295e-13,0.12669991701841354,1
2,0.0,nan,ITERATIVE,0.0,3.554881421804571e-15,5.123796534383003e-14,0.14779996126890182,1
2,0.0,0.01,EPnP+TSVD,0.0,1.2658490090568385e-15,1.8364471519760295e-13,0.166199984960258,1
2,0.0,0.001,EPnP+TSVD,0.0,1.2658490090568385e-15,1.8364471519760295e-13,0.1610000617802143,1
2,0.0,0.0001,EPnP+TSVD,0.0,1.2658490090568385e-15,1.8364471519760295e-13,0.15330000314861536,1
2,0.0,1e-05,EPnP+TSVD,0.0,1.2658490090568385e-15,1.8364471519760295e-13,0.1517999917268753,1
2,0.0,1e-06,EPnP+TSVD,0.0,1.2658490090568385e-15,1.8364471519760295e-13,0.17180002760142088,1
3,0.0,nan,EPnP,0.0,1.777711575522029e-15,1.3178604512369964e-13,0.12560002505779266,1
3,0.0,nan,ITERATIVE,0.0,5.0398493958220603e-17,3.4809342861069267e-14,0.14750007539987564,1
3,0.0,0.01,EPnP+TSVD,0.0,1.777711575522029e-15,1.3178604512369964e-13,0.18910004291683435,1
3,0.0,0.001,EPnP+TSVD,0.0,1.777711575522029e-15,1.3178604512369964e-13,0.15660002827644348,1
3,0.0,0.0001,EPnP+TSVD,0.0,1.777711575522029e-15,1.3178604512369964e-13,0.1506999833509326,1
3,0.0,1e-05,EPnP+TSVD,0.0,1.777711575522029e-15,1.3178604512369964e-13,0.14839996583759785,1
3,0.0,1e-06,EPnP+TSVD,0.0,1.777711575522029e-15,1.3178604512369964e-13,0.14899997040629387,1
4,0.0,nan,EPnP,1.2074182697257333e-06,2.6129788194940115e-13,4.990013697488234e-13,0.1246000174432993,1
4,0.0,nan,ITERATIVE,0.0,1.7843618982877262e-15,4.4938668397781776e-14,0.14590006321668625,1
4,0.0,0.01,EPnP+TSVD,1.2074182697257333e-06,2.6129788194940115e-13,4.990013697488234e-13,0.16729999333620071,1
4,0.0,0.001,EPnP+TSVD,1.2074182697257333e-06,2.6129788194940115e-13,4.990013697488234e-13,0.15680002979934216,1
4,0.0,0.0001,EPnP+TSVD,1.2074182697257333e-06,2.6129788194940115e-13,4.990013697488234e-13,0.15249999705702066,1
4,0.0,1e-05,EPnP+TSVD,1.2074182697257333e-06,2.6129788194940115e-13,4.990013697488234e-13,0.15600002370774746,1
4,0.0,1e-06,EPnP+TSVD,1.2074182697257333e-06,2.6129788194940115e-13,4.990013697488234e-13,0.18269999418407679,1
5,0.0,nan,EPnP,0.0,4.3943719363946827e-10,7.656889391175598e-10,0.12350000906735659,1
5,0.0,nan,ITERATIVE,1.2074182697257333e-06,1.99578420095106e-12,2.6458153849346285e-12,0.1493000891059637,1
5,0.0,0.01,EPnP+TSVD,0.0,4.3943719363946827e-10,7.656889391175598e-10,0.20919996313750744,1
5,0.0,0.001,EPnP+TSVD,0.0,4.3943719363946827e-10,7.656889391175598e-10,0.1637000823393464,1
5,0.0,0.0001,EPnP+TSVD,0.0,4.3943719363946827e-10,7.656889391175598e-10,0.1778999576345086,1
5,0.0,1e-05,EPnP+TSVD,0.0,4.3943719363946827e-10,7.656889391175598e-10,0.20100001711398363,1
5,0.0,1e-06,EPnP+TSVD,0.0,4.3943719363946827e-10,7.656889391175598e-10,0.15650002751499414,1
6,0.0,nan,EPnP,0.0,5.5154779308627353e-14,2.4736685852430486e-13,0.1268000341951847,1
6,0.0,nan,ITERATIVE,0.0,1.7832822334594722e-15,2.4613922385709617e-14,0.3381000133231282,1
6,0.0,0.01,EPnP+TSVD,0.0,5.5154779308627353e-14,2.4736685852430486e-13,0.3344999859109521,1
6,0.0,0.001,EPnP+TSVD,0.0,5.5154779308627353e-14,2.4736685852430486e-13,0.29039999935775995,1
6,0.0,0.0001,EPnP+TSVD,0.0,5.5154779308627353e-14,2.4736685852430486e-13,0.2877999795600772,1
6,0.0,1e-05,EPnP+TSVD,0.0,5.5154779308627353e-14,2.4736685852430486e-13,0.3197999903932214,1
6,0.0,1e-06,EPnP+TSVD,0.0,5.5154779308627353e-14,2.4736685852430486e-13,0.17739995382726192,1
7,0.0,nan,EPnP,0.0,3.334696094580214e-10,2.7649723208027517e-09,0.13840000610798597,1
7,0.0,nan,ITERATIVE,0.0,4.191885464441423e-12,2.6092794296640824e-11,0.1583000412210822,1
7,0.0,0.01,EPnP+TSVD,0.0,3.334696094580214e-10,2.7649723208027517e-09,0.18740002997219563,1
7,0.0,0.001,EPnP+TSVD,0.0,3.334696094580214e-10,2.7649723208027517e-09,0.16119994688779116,1
7,0.0,0.0001,EPnP+TSVD,0.0,3.334696094580214e-10,2.7649723208027517e-09,0.15679991338402033,1
7,0.0,1e-05,EPnP+TSVD,0.0,3.334696094580214e-10,2.7649723208027517e-09,0.15390000771731138,1
7,0.0,1e-06,EPnP+TSVD,0.0,3.334696094580214e-10,2.7649723208027517e-09,0.23749994579702616,1
8,0.0,nan,EPnP,0.0,2.2426436309954813e-12,2.4413809994394373e-11,0.12890005018562078,1
8,0.0,nan,ITERATIVE,0.0,1.1597389197109038e-14,1.2789769243681803e-13,0.1512001035735011,1
8,0.0,0.01,EPnP+TSVD,0.0,2.2426436309954813e-12,2.4413809994394373e-11,0.1694000093266368,1
8,0.0,0.001,EPnP+TSVD,0.0,2.2426436309954813e-12,2.4413809994394373e-11,0.17380004283040762,1
8,0.0,0.0001,EPnP+TSVD,0.0,2.2426436309954813e-12,2.4413809994394373e-11,0.152299995534122,1
8,0.0,1e-05,EPnP+TSVD,0.0,2.2426436309954813e-12,2.4413809994394373e-11,0.18820003606379032,1
8,0.0,1e-06,EPnP+TSVD,0.0,2.2426436309954813e-12,2.4413809994394373e-11,0.16250007320195436,1
9,0.0,nan,EPnP,0.0,1.9557343555690405e-14,2.2243506013095567e-13,0.12770004104822874,1
9,0.0,nan,ITERATIVE,0.0,5.551115123125783e-17,3.4809342861069267e-14,0.17739995382726192,1
9,0.0,0.01,EPnP+TSVD,0.0,1.9557343555690405e-14,2.2243506013095567e-13,0.17419992946088314,1
9,0.0,0.001,EPnP+TSVD,0.0,1.9557343555690405e-14,2.2243506013095567e-13,0.15929993242025375,1
9,0.0,0.0001,EPnP+TSVD,0.0,1.9557343555690405e-14,2.2243506013095567e-13,0.15600002370774746,1
9,0.0,1e-05,EPnP+TSVD,0.0,1.9557343555690405e-14,2.2243506013095567e-13,0.17479993402957916,1
9,0.0,1e-06,EPnP+TSVD,0.0,1.9557343555690405e-14,2.2243506013095567e-13,0.1550000160932541,1
10,0.0,nan,EPnP,0.0,7.392007681669783e-14,4.405364961712621e-13,0.12980005703866482,1
10,0.0,nan,ITERATIVE,1.2074182697257333e-06,1.779877008538108e-15,4.263256414560601e-14,0.1542000100016594,1
10,0.0,0.01,EPnP+TSVD,0.0,7.392007681669783e-14,4.405364961712621e-13,0.17150002531707287,1
10,0.0,0.001,EPnP+TSVD,0.0,7.392007681669783e-14,4.405364961712621e-13,0.15620002523064613,1
10,0.0,0.0001,EPnP+TSVD,0.0,7.392007681669783e-14,4.405364961712621e-13,0.15440001152455807,1
10,0.0,1e-05,EPnP+TSVD,0.0,7.392007681669783e-14,4.405364961712621e-13,0.15219999477267265,1
10,0.0,1e-06,EPnP+TSVD,0.0,7.392007681669783e-14,4.405364961712621e-13,0.15360000543296337,1
11,0.0,nan,EPnP,0.0,3.595688439783631e-15,1.325500285970636e-13,0.12750003952533007,1
11,0.0,nan,ITERATIVE,0.0,5.908255262090379e-17,4.263256414560601e-14,0.1482999650761485,1
11,0.0,0.01,EPnP+TSVD,0.0,3.595688439783631e-15,1.325500285970636e-13,0.1689000055193901,1
11,0.0,0.001,EPnP+TSVD,0.0,3.595688439783631e-15,1.325500285970636e-13,0.15630002599209547,1
11,0.0,0.0001,EPnP+TSVD,0.0,3.595688439783631e-15,1.325500285970636e-13,0.16300007700920105,1
11,0.0,1e-05,EPnP+TSVD,0.0,3.595688439783631e-15,1.325500285970636e-13,0.1509999856352806,1
11,0.0,1e-06,EPnP+TSVD,0.0,3.595688439783631e-15,1.325500285970636e-13,0.15029998030513525,1
12,0.0,nan,EPnP,0.0,5.331960940129496e-15,4.713207304057789e-14,0.1398000167682767,1
12,0.0,nan,ITERATIVE,0.0,1.7860880045179793e-15,0.0,0.14619994908571243,1
12,0.0,0.01,EPnP+TSVD,0.0,5.331960940129496e-15,4.713207304057789e-14,0.16309996135532856,1
12,0.0,0.001,EPnP+TSVD,0.0,5.331960940129496e-15,4.713207304057789e-14,0.15189999248832464,1
12,0.0,0.0001,EPnP+TSVD,0.0,5.331960940129496e-15,4.713207304057789e-14,0.15029998030513525,1
12,0.0,1e-05,EPnP+TSVD,0.0,5.331960940129496e-15,4.713207304057789e-14,0.15049998182803392,1
12,0.0,1e-06,EPnP+TSVD,0.0,5.331960940129496e-15,4.713207304057789e-14,0.15029998030513525,1
13,0.0,nan,EPnP,0.0,4.621371757927334e-13,8.968614409633153e-13,0.12410001363605261,1
13,0.0,nan,ITERATIVE,0.0,1.2445041265138875e-14,5.317214951750687e-14,0.5000999663025141,1
13,0.0,0.01,EPnP+TSVD,0.0,4.621371757927334e-13,8.968614409633153e-13,0.30509999487549067,1
13,0.0,0.001,EPnP+TSVD,0.0,4.621371757927334e-13,8.968614409633153e-13,0.25759998243302107,1
13,0.0,0.0001,EPnP+TSVD,0.0,4.621371757927334e-13,8.968614409633153e-13,0.17389992717653513,1
13,0.0,1e-05,EPnP+TSVD,0.0,4.621371757927334e-13,8.968614409633153e-13,0.16190006863325834,1
13,0.0,1e-06,EPnP+TSVD,0.0,4.621371757927334e-13,8.968614409633153e-13,0.15390000771731138,1
